Time	Node	Type	Packets	
1	Node0	CacheHits	15
1	Node0	CacheMisses	744
1	Node1	CacheHits	7
1	Node1	CacheMisses	387
1	Node2	CacheHits	9
1	Node2	CacheMisses	378
1	Node3	CacheHits	3
1	Node3	CacheMisses	200
1	Node4	CacheHits	4
1	Node4	CacheMisses	198
1	Node5	CacheHits	3
1	Node5	CacheMisses	199
1	Node6	CacheHits	5
1	Node6	CacheMisses	194
1	Node7	CacheHits	1
1	Node7	CacheMisses	103
1	Node8	CacheHits	1
1	Node8	CacheMisses	103
1	Node9	CacheHits	1
1	Node9	CacheMisses	103
1	Node10	CacheHits	1
1	Node10	CacheMisses	101
1	Node11	CacheHits	1
1	Node11	CacheMisses	102
1	Node12	CacheHits	1
1	Node12	CacheMisses	103
1	Node13	CacheHits	2
1	Node13	CacheMisses	100
1	Node14	CacheHits	1
1	Node14	CacheMisses	103
2	Node0	CacheHits	39
2	Node0	CacheMisses	712
2	Node1	CacheHits	11
2	Node1	CacheMisses	379
2	Node2	CacheHits	11
2	Node2	CacheMisses	368
2	Node3	CacheHits	1
2	Node3	CacheMisses	197
2	Node4	CacheHits	4
2	Node4	CacheMisses	192
2	Node5	CacheHits	8
2	Node5	CacheMisses	185
2	Node6	CacheHits	3
2	Node6	CacheMisses	195
2	Node7	CacheHits	0
2	Node7	CacheMisses	100
2	Node8	CacheHits	1
2	Node8	CacheMisses	99
2	Node9	CacheHits	1
2	Node9	CacheMisses	99
2	Node10	CacheHits	2
2	Node10	CacheMisses	97
2	Node11	CacheHits	5
2	Node11	CacheMisses	95
2	Node12	CacheHits	0
2	Node12	CacheMisses	100
2	Node13	CacheHits	0
2	Node13	CacheMisses	100
2	Node14	CacheHits	1
2	Node14	CacheMisses	99
3	Node0	CacheHits	47
3	Node0	CacheMisses	677
3	Node1	CacheHits	10
3	Node1	CacheMisses	370
3	Node2	CacheHits	20
3	Node2	CacheMisses	353
3	Node3	CacheHits	11
3	Node3	CacheMisses	186
3	Node4	CacheHits	2
3	Node4	CacheMisses	193
3	Node5	CacheHits	9
3	Node5	CacheMisses	183
3	Node6	CacheHits	9
3	Node6	CacheMisses	189
3	Node7	CacheHits	1
3	Node7	CacheMisses	97
3	Node8	CacheHits	2
3	Node8	CacheMisses	97
3	Node9	CacheHits	2
3	Node9	CacheMisses	98
3	Node10	CacheHits	2
3	Node10	CacheMisses	96
3	Node11	CacheHits	5
3	Node11	CacheMisses	94
3	Node12	CacheHits	2
3	Node12	CacheMisses	98
3	Node13	CacheHits	1
3	Node13	CacheMisses	98
3	Node14	CacheHits	1
3	Node14	CacheMisses	99
4	Node0	CacheHits	29
4	Node0	CacheMisses	683
4	Node1	CacheHits	16
4	Node1	CacheMisses	355
4	Node2	CacheHits	18
4	Node2	CacheMisses	354
4	Node3	CacheHits	10
4	Node3	CacheMisses	183
4	Node4	CacheHits	7
4	Node4	CacheMisses	189
4	Node5	CacheHits	5
4	Node5	CacheMisses	189
4	Node6	CacheHits	10
4	Node6	CacheMisses	185
4	Node7	CacheHits	5
4	Node7	CacheMisses	95
4	Node8	CacheHits	1
4	Node8	CacheMisses	99
4	Node9	CacheHits	1
4	Node9	CacheMisses	99
4	Node10	CacheHits	3
4	Node10	CacheMisses	97
4	Node11	CacheHits	2
4	Node11	CacheMisses	98
4	Node12	CacheHits	4
4	Node12	CacheMisses	96
4	Node13	CacheHits	3
4	Node13	CacheMisses	97
4	Node14	CacheHits	2
4	Node14	CacheMisses	98
5	Node0	CacheHits	28
5	Node0	CacheMisses	673
5	Node1	CacheHits	20
5	Node1	CacheMisses	353
5	Node2	CacheHits	16
5	Node2	CacheMisses	347
5	Node3	CacheHits	12
5	Node3	CacheMisses	183
5	Node4	CacheHits	7
5	Node4	CacheMisses	189
5	Node5	CacheHits	8
5	Node5	CacheMisses	183
5	Node6	CacheHits	14
5	Node6	CacheMisses	181
5	Node7	CacheHits	1
5	Node7	CacheMisses	99
5	Node8	CacheHits	3
5	Node8	CacheMisses	97
5	Node9	CacheHits	1
5	Node9	CacheMisses	97
5	Node10	CacheHits	0
5	Node10	CacheMisses	100
5	Node11	CacheHits	4
5	Node11	CacheMisses	96
5	Node12	CacheHits	5
5	Node12	CacheMisses	95
5	Node13	CacheHits	4
5	Node13	CacheMisses	96
5	Node14	CacheHits	0
5	Node14	CacheMisses	99
6	Node0	CacheHits	21
6	Node0	CacheMisses	694
6	Node1	CacheHits	17
6	Node1	CacheMisses	353
6	Node2	CacheHits	14
6	Node2	CacheMisses	362
6	Node3	CacheHits	8
6	Node3	CacheMisses	183
6	Node4	CacheHits	8
6	Node4	CacheMisses	185
6	Node5	CacheHits	8
6	Node5	CacheMisses	188
6	Node6	CacheHits	12
6	Node6	CacheMisses	187
6	Node7	CacheHits	5
6	Node7	CacheMisses	95
6	Node8	CacheHits	4
6	Node8	CacheMisses	96
6	Node9	CacheHits	2
6	Node9	CacheMisses	98
6	Node10	CacheHits	3
6	Node10	CacheMisses	95
6	Node11	CacheHits	1
6	Node11	CacheMisses	98
6	Node12	CacheHits	2
6	Node12	CacheMisses	98
6	Node13	CacheHits	1
6	Node13	CacheMisses	99
6	Node14	CacheHits	0
6	Node14	CacheMisses	100
7	Node0	CacheHits	20
7	Node0	CacheMisses	672
7	Node1	CacheHits	17
7	Node1	CacheMisses	348
7	Node2	CacheHits	18
7	Node2	CacheMisses	342
7	Node3	CacheHits	7
7	Node3	CacheMisses	182
7	Node4	CacheHits	13
7	Node4	CacheMisses	183
7	Node5	CacheHits	10
7	Node5	CacheMisses	185
7	Node6	CacheHits	12
7	Node6	CacheMisses	175
7	Node7	CacheHits	2
7	Node7	CacheMisses	98
7	Node8	CacheHits	8
7	Node8	CacheMisses	92
7	Node9	CacheHits	2
7	Node9	CacheMisses	98
7	Node10	CacheHits	2
7	Node10	CacheMisses	97
7	Node11	CacheHits	2
7	Node11	CacheMisses	98
7	Node12	CacheHits	3
7	Node12	CacheMisses	97
7	Node13	CacheHits	4
7	Node13	CacheMisses	95
7	Node14	CacheHits	8
7	Node14	CacheMisses	91
8	Node0	CacheHits	22
8	Node0	CacheMisses	661
8	Node1	CacheHits	20
8	Node1	CacheMisses	334
8	Node2	CacheHits	8
8	Node2	CacheMisses	347
8	Node3	CacheHits	15
8	Node3	CacheMisses	177
8	Node4	CacheHits	17
8	Node4	CacheMisses	177
8	Node5	CacheHits	8
8	Node5	CacheMisses	182
8	Node6	CacheHits	18
8	Node6	CacheMisses	173
8	Node7	CacheHits	1
8	Node7	CacheMisses	99
8	Node8	CacheHits	7
8	Node8	CacheMisses	93
8	Node9	CacheHits	3
8	Node9	CacheMisses	96
8	Node10	CacheHits	2
8	Node10	CacheMisses	98
8	Node11	CacheHits	7
8	Node11	CacheMisses	93
8	Node12	CacheHits	3
8	Node12	CacheMisses	97
8	Node13	CacheHits	1
8	Node13	CacheMisses	99
8	Node14	CacheHits	7
8	Node14	CacheMisses	93
9	Node0	CacheHits	22
