Time	Node	Type	Packets	
8	Node4	CacheMisses	176
8	Node5	CacheHits	9
8	Node5	CacheMisses	187
8	Node6	CacheHits	11
8	Node6	CacheMisses	181
8	Node7	CacheHits	11
8	Node7	CacheMisses	89
8	Node8	CacheHits	6
8	Node8	CacheMisses	94
8	Node9	CacheHits	1
8	Node9	CacheMisses	99
8	Node10	CacheHits	4
8	Node10	CacheMisses	96
8	Node11	CacheHits	2
8	Node11	CacheMisses	98
8	Node12	CacheHits	2
8	Node12	CacheMisses	98
8	Node13	CacheHits	3
8	Node13	CacheMisses	97
8	Node14	CacheHits	5
8	Node14	CacheMisses	95
9	Node0	CacheHits	29
9	Node0	CacheMisses	634
9	Node1	CacheHits	18
9	Node1	CacheMisses	322
9	Node2	CacheHits	17
9	Node2	CacheMisses	339
9	Node3	CacheHits	11
9	Node3	CacheMisses	175
9	Node4	CacheHits	16
9	Node4	CacheMisses	165
9	Node5	CacheHits	8
9	Node5	CacheMisses	181
9	Node6	CacheHits	8
9	Node6	CacheMisses	176
9	Node7	CacheHits	10
9	Node7	CacheMisses	90
9	Node8	CacheHits	4
9	Node8	CacheMisses	96
9	Node9	CacheHits	8
9	Node9	CacheMisses	91
9	Node10	CacheHits	10
9	Node10	CacheMisses	90
9	Node11	CacheHits	3
9	Node11	CacheMisses	97
9	Node12	CacheHits	8
9	Node12	CacheMisses	92
9	Node13	CacheHits	9
9	Node13	CacheMisses	91
9	Node14	CacheHits	7
9	Node14	CacheMisses	93
10	Node0	CacheHits	17
10	Node0	CacheMisses	659
10	Node1	CacheHits	14
10	Node1	CacheMisses	335
10	Node2	CacheHits	12
10	Node2	CacheMisses	341
10	Node3	CacheHits	11
10	Node3	CacheMisses	178
10	Node4	CacheHits	16
10	Node4	CacheMisses	172
10	Node5	CacheHits	7
10	Node5	CacheMisses	176
10	Node6	CacheHits	8
10	Node6	CacheMisses	177
10	Node7	CacheHits	8
10	Node7	CacheMisses	92
10	Node8	CacheHits	4
10	Node8	CacheMisses	96
10	Node9	CacheHits	6
10	Node9	CacheMisses	93
10	Node10	CacheHits	6
10	Node10	CacheMisses	94
10	Node11	CacheHits	3
10	Node11	CacheMisses	97
10	Node12	CacheHits	13
10	Node12	CacheMisses	87
10	Node13	CacheHits	8
10	Node13	CacheMisses	92
10	Node14	CacheHits	7
10	Node14	CacheMisses	93
11	Node0	CacheHits	0
11	Node0	CacheMisses	18
11	Node1	CacheHits	1
11	Node1	CacheMisses	5
11	Node2	CacheHits	0
11	Node2	CacheMisses	7
