Time	Node	Type	Packets	
1	Node0	CacheHits	39
1	Node0	CacheMisses	712
1	Node1	CacheHits	5
1	Node1	CacheMisses	382
1	Node2	CacheHits	7
1	Node2	CacheMisses	374
1	Node3	CacheHits	6
1	Node3	CacheMisses	195
1	Node4	CacheHits	5
1	Node4	CacheMisses	196
1	Node5	CacheHits	5
1	Node5	CacheMisses	196
1	Node6	CacheHits	6
1	Node6	CacheMisses	191
1	Node7	CacheHits	2
1	Node7	CacheMisses	102
1	Node8	CacheHits	2
1	Node8	CacheMisses	102
1	Node9	CacheHits	2
1	Node9	CacheMisses	102
1	Node10	CacheHits	1
1	Node10	CacheMisses	101
1	Node11	CacheHits	2
1	Node11	CacheMisses	100
1	Node12	CacheHits	1
1	Node12	CacheMisses	103
1	Node13	CacheHits	2
1	Node13	CacheMisses	100
1	Node14	CacheHits	3
1	Node14	CacheMisses	101
2	Node0	CacheHits	23
2	Node0	CacheMisses	708
2	Node1	CacheHits	15
2	Node1	CacheMisses	370
2	Node2	CacheHits	19
2	Node2	CacheMisses	357
2	Node3	CacheHits	6
2	Node3	CacheMisses	190
2	Node4	CacheHits	5
2	Node4	CacheMisses	193
2	Node5	CacheHits	3
2	Node5	CacheMisses	191
2	Node6	CacheHits	6
2	Node6	CacheMisses	187
2	Node7	CacheHits	1
2	Node7	CacheMisses	99
2	Node8	CacheHits	2
2	Node8	CacheMisses	98
2	Node9	CacheHits	1
2	Node9	CacheMisses	99
2	Node10	CacheHits	1
2	Node10	CacheMisses	97
2	Node11	CacheHits	1
2	Node11	CacheMisses	99
2	Node12	CacheHits	3
2	Node12	CacheMisses	97
2	Node13	CacheHits	1
2	Node13	CacheMisses	99
2	Node14	CacheHits	5
2	Node14	CacheMisses	95
3	Node0	CacheHits	33
3	Node0	CacheMisses	665
3	Node1	CacheHits	16
3	Node1	CacheMisses	344
3	Node2	CacheHits	10
3	Node2	CacheMisses	354
3	Node3	CacheHits	14
3	Node3	CacheMisses	175
3	Node4	CacheHits	8
3	Node4	CacheMisses	185
3	Node5	CacheHits	12
3	Node5	CacheMisses	179
3	Node6	CacheHits	9
3	Node6	CacheMisses	184
3	Node7	CacheHits	8
3	Node7	CacheMisses	92
3	Node8	CacheHits	2
3	Node8	CacheMisses	97
3	Node9	CacheHits	3
3	Node9	CacheMisses	97
3	Node10	CacheHits	2
3	Node10	CacheMisses	97
3	Node11	CacheHits	3
3	Node11	CacheMisses	96
3	Node12	CacheHits	5
3	Node12	CacheMisses	95
3	Node13	CacheHits	1
3	Node13	CacheMisses	98
3	Node14	CacheHits	6
3	Node14	CacheMisses	94
4	Node0	CacheHits	17
4	Node0	CacheMisses	669
4	Node1	CacheHits	14
4	Node1	CacheMisses	340
4	Node2	CacheHits	20
4	Node2	CacheMisses	342
4	Node3	CacheHits	14
4	Node3	CacheMisses	176
4	Node4	CacheHits	11
4	Node4	CacheMisses	178
4	Node5	CacheHits	6
4	Node5	CacheMisses	180
4	Node6	CacheHits	8
4	Node6	CacheMisses	183
4	Node7	CacheHits	8
4	Node7	CacheMisses	92
4	Node8	CacheHits	2
4	Node8	CacheMisses	98
4	Node9	CacheHits	3
4	Node9	CacheMisses	97
4	Node10	CacheHits	8
4	Node10	CacheMisses	92
4	Node11	CacheHits	6
4	Node11	CacheMisses	94
4	Node12	CacheHits	8
4	Node12	CacheMisses	92
4	Node13	CacheHits	2
4	Node13	CacheMisses	98
4	Node14	CacheHits	7
