Time	Node	Type	Packets	
0.1	0	CacheHits	1
0.1	0	CacheMisses	4
0.1	1	CacheHits	1
0.1	1	CacheMisses	4
0.1	2	CacheHits	1
0.1	2	CacheMisses	4
0.1	3	CacheHits	1
0.1	3	CacheMisses	4
0.1	4	CacheHits	1
0.1	4	CacheMisses	4
0.2	0	CacheHits	0
0.2	0	CacheMisses	1
0.2	1	CacheHits	0
0.2	1	CacheMisses	1
0.2	2	CacheHits	0
0.2	2	CacheMisses	1
0.2	3	CacheHits	0
0.2	3	CacheMisses	1
0.2	4	CacheHits	0
0.2	4	CacheMisses	1
0.3	0	CacheHits	0
0.3	0	CacheMisses	1
0.3	1	CacheHits	0
0.3	1	CacheMisses	1
0.3	2	CacheHits	0
0.3	2	CacheMisses	1
0.3	3	CacheHits	0
0.3	3	CacheMisses	1
0.3	4	CacheHits	0
0.3	4	CacheMisses	1
0.4	0	CacheHits	0
0.4	0	CacheMisses	1
0.4	1	CacheHits	0
0.4	1	CacheMisses	1
0.4	2	CacheHits	0
0.4	2	CacheMisses	1
0.4	3	CacheHits	0
0.4	3	CacheMisses	1
0.4	4	CacheHits	0
0.4	4	CacheMisses	1
0.5	0	CacheHits	0
0.5	0	CacheMisses	1
0.5	1	CacheHits	0
0.5	1	CacheMisses	1
0.5	2	CacheHits	0
0.5	2	CacheMisses	1
0.5	3	CacheHits	0
0.5	3	CacheMisses	1
0.5	4	CacheHits	0
0.5	4	CacheMisses	1
0.6	0	CacheHits	0
0.6	0	CacheMisses	1
0.6	1	CacheHits	0
0.6	1	CacheMisses	1
0.6	2	CacheHits	0
0.6	2	CacheMisses	1
0.6	3	CacheHits	0
0.6	3	CacheMisses	1
0.6	4	CacheHits	0
0.6	4	CacheMisses	1
0.7	0	CacheHits	0
0.7	0	CacheMisses	1
0.7	1	CacheHits	0
0.7	1	CacheMisses	1
0.7	2	CacheHits	0
0.7	2	CacheMisses	1
0.7	3	CacheHits	0
0.7	3	CacheMisses	1
0.7	4	CacheHits	0
0.7	4	CacheMisses	1
0.8	0	CacheHits	0
0.8	0	CacheMisses	1
0.8	1	CacheHits	0
0.8	1	CacheMisses	1
0.8	2	CacheHits	0
0.8	2	CacheMisses	1
0.8	3	CacheHits	0
0.8	3	CacheMisses	1
0.8	4	CacheHits	0
0.8	4	CacheMisses	1
0.9	0	CacheHits	0
0.9	0	CacheMisses	1
0.9	1	CacheHits	0
0.9	1	CacheMisses	1
0.9	2	CacheHits	0
0.9	2	CacheMisses	1
0.9	3	CacheHits	0
0.9	3	CacheMisses	1
0.9	4	CacheHits	0
0.9	4	CacheMisses	1
1	0	CacheHits	0
1	0	CacheMisses	1
1	1	CacheHits	0
1	1	CacheMisses	1
1	2	CacheHits	0
1	2	CacheMisses	1
1	3	CacheHits	0
1	3	CacheMisses	1
1	4	CacheHits	0
1	4	CacheMisses	1
1.1	0	CacheHits	0
1.1	0	CacheMisses	1
1.1	1	CacheHits	0
1.1	1	CacheMisses	1
1.1	2	CacheHits	0
1.1	2	CacheMisses	1
1.1	3	CacheHits	0
1.1	3	CacheMisses	1
1.1	4	CacheHits	0
1.1	4	CacheMisses	1
1.2	0	CacheHits	0
1.2	0	CacheMisses	1
1.2	1	CacheHits	0
1.2	1	CacheMisses	1
1.2	2	CacheHits	0
1.2	2	CacheMisses	1
1.2	3	CacheHits	0
1.2	3	CacheMisses	1
1.2	4	CacheHits	0
1.2	4	CacheMisses	1
1.3	0	CacheHits	0
1.3	0	CacheMisses	1
1.3	1	CacheHits	0
1.3	1	CacheMisses	1
1.3	2	CacheHits	0
1.3	2	CacheMisses	1
1.3	3	CacheHits	0
1.3	3	CacheMisses	1
1.3	4	CacheHits	0
1.3	4	CacheMisses	1
1.4	0	CacheHits	0
1.4	0	CacheMisses	1
1.4	1	CacheHits	0
1.4	1	CacheMisses	1
1.4	2	CacheHits	0
1.4	2	CacheMisses	1
1.4	3	CacheHits	0
1.4	3	CacheMisses	1
1.4	4	CacheHits	0
1.4	4	CacheMisses	1
1.5	0	CacheHits	0
1.5	0	CacheMisses	1
1.5	1	CacheHits	0
1.5	1	CacheMisses	1
1.5	2	CacheHits	0
1.5	2	CacheMisses	1
1.5	3	CacheHits	0
1.5	3	CacheMisses	1
1.5	4	CacheHits	0
1.5	4	CacheMisses	1
1.6	0	CacheHits	0
1.6	0	CacheMisses	1
1.6	1	CacheHits	0
1.6	1	CacheMisses	1
1.6	2	CacheHits	0
1.6	2	CacheMisses	1
1.6	3	CacheHits	0
1.6	3	CacheMisses	1
1.6	4	CacheHits	0
1.6	4	CacheMisses	1
1.7	0	CacheHits	0
1.7	0	CacheMisses	1
1.7	1	CacheHits	0
1.7	1	CacheMisses	1
1.7	2	CacheHits	0
1.7	2	CacheMisses	1
1.7	3	CacheHits	0
1.7	3	CacheMisses	1
1.7	4	CacheHits	0
1.7	4	CacheMisses	1
1.8	0	CacheHits	0
1.8	0	CacheMisses	1
1.8	1	CacheHits	0
1.8	1	CacheMisses	1
1.8	2	CacheHits	0
1.8	2	CacheMisses	1
1.8	3	CacheHits	0
1.8	3	CacheMisses	1
1.8	4	CacheHits	0
1.8	4	CacheMisses	1
1.9	0	CacheHits	0
1.9	0	CacheMisses	1
1.9	1	CacheHits	0
1.9	1	CacheMisses	1
1.9	2	CacheHits	0
1.9	2	CacheMisses	1
1.9	3	CacheHits	0
1.9	3	CacheMisses	1
1.9	4	CacheHits	0
1.9	4	CacheMisses	1
2	0	CacheHits	0
2	0	CacheMisses	1
2	1	CacheHits	0
2	1	CacheMisses	1
2	2	CacheHits	0
2	2	CacheMisses	1
2	3	CacheHits	0
2	3	CacheMisses	1
2	4	CacheHits	0
2	4	CacheMisses	1
2.1	0	CacheHits	0
2.1	0	CacheMisses	1
2.1	1	CacheHits	0
2.1	1	CacheMisses	1
2.1	2	CacheHits	0
2.1	2	CacheMisses	1
2.1	3	CacheHits	0
2.1	3	CacheMisses	1
2.1	4	CacheHits	0
2.1	4	CacheMisses	1
2.2	0	CacheHits	0
2.2	0	CacheMisses	1
2.2	1	CacheHits	0
2.2	1	CacheMisses	1
2.2	2	CacheHits	0
2.2	2	CacheMisses	1
2.2	3	CacheHits	0
2.2	3	CacheMisses	1
2.2	4	CacheHits	0
2.2	4	CacheMisses	1
2.3	0	CacheHits	0
2.3	0	CacheMisses	1
2.3	1	CacheHits	0
2.3	1	CacheMisses	1
2.3	2	CacheHits	0
2.3	2	CacheMisses	1
2.3	3	CacheHits	0
2.3	3	CacheMisses	1
2.3	4	CacheHits	0
2.3	4	CacheMisses	1
2.4	0	CacheHits	0
2.4	0	CacheMisses	1
2.4	1	CacheHits	0
2.4	1	CacheMisses	1
2.4	2	CacheHits	0
2.4	2	CacheMisses	1
2.4	3	CacheHits	0
2.4	3	CacheMisses	1
2.4	4	CacheHits	0
2.4	4	CacheMisses	1
2.5	0	CacheHits	0
2.5	0	CacheMisses	1
2.5	1	CacheHits	0
2.5	1	CacheMisses	1
2.5	2	CacheHits	0
2.5	2	CacheMisses	1
2.5	3	CacheHits	0
2.5	3	CacheMisses	1
2.5	4	CacheHits	0
2.5	4	CacheMisses	1
2.6	0	CacheHits	0
2.6	0	CacheMisses	1
2.6	1	CacheHits	0
2.6	1	CacheMisses	1
2.6	2	CacheHits	0
2.6	2	CacheMisses	1
2.6	3	CacheHits	0
2.6	3	CacheMisses	1
2.6	4	CacheHits	0
2.6	4	CacheMisses	1
2.7	0	CacheHits	0
2.7	0	CacheMisses	1
2.7	1	CacheHits	0
2.7	1	CacheMisses	1
2.7	2	CacheHits	0
2.7	2	CacheMisses	1
2.7	3	CacheHits	0
2.7	3	CacheMisses	1
2.7	4	CacheHits	0
2.7	4	CacheMisses	1
2.8	0	CacheHits	0
2.8	0	CacheMisses	1
2.8	1	CacheHits	0
2.8	1	CacheMisses	1
2.8	2	CacheHits	0
2.8	2	CacheMisses	1
2.8	3	CacheHits	0
2.8	3	CacheMisses	1
2.8	4	CacheHits	0
2.8	4	CacheMisses	1
2.9	0	CacheHits	0
2.9	0	CacheMisses	1
2.9	1	CacheHits	0
2.9	1	CacheMisses	1
