Time	Node	Type	Packets	
1	Node0	CacheHits	19
1	Node0	CacheMisses	738
1	Node1	CacheHits	5
1	Node1	CacheMisses	386
1	Node2	CacheHits	14
1	Node2	CacheMisses	377
1	Node3	CacheHits	7
1	Node3	CacheMisses	196
1	Node4	CacheHits	3
1	Node4	CacheMisses	199
1	Node5	CacheHits	3
1	Node5	CacheMisses	199
1	Node6	CacheHits	3
1	Node6	CacheMisses	197
1	Node7	CacheHits	1
1	Node7	CacheMisses	103
1	Node8	CacheHits	1
1	Node8	CacheMisses	103
1	Node9	CacheHits	1
1	Node9	CacheMisses	103
1	Node10	CacheHits	1
1	Node10	CacheMisses	101
1	Node11	CacheHits	1
1	Node11	CacheMisses	102
1	Node12	CacheHits	1
1	Node12	CacheMisses	103
1	Node13	CacheHits	1
1	Node13	CacheMisses	101
1	Node14	CacheHits	1
1	Node14	CacheMisses	103
2	Node0	CacheHits	42
2	Node0	CacheMisses	712
2	Node1	CacheHits	10
2	Node1	CacheMisses	380
2	Node2	CacheHits	18
2	Node2	CacheMisses	369
2	Node3	CacheHits	2
2	Node3	CacheMisses	192
2	Node4	CacheHits	4
2	Node4	CacheMisses	194
2	Node5	CacheHits	2
2	Node5	CacheMisses	195
2	Node6	CacheHits	2
2	Node6	CacheMisses	195
2	Node7	CacheHits	1
2	Node7	CacheMisses	99
2	Node8	CacheHits	3
2	Node8	CacheMisses	97
2	Node9	CacheHits	1
2	Node9	CacheMisses	99
2	Node10	CacheHits	0
2	Node10	CacheMisses	98
2	Node11	CacheHits	1
2	Node11	CacheMisses	99
2	Node12	CacheHits	0
2	Node12	CacheMisses	100
2	Node13	CacheHits	0
2	Node13	CacheMisses	100
2	Node14	CacheHits	2
2	Node14	CacheMisses	98
3	Node0	CacheHits	29
3	Node0	CacheMisses	666
3	Node1	CacheHits	20
3	Node1	CacheMisses	355
3	Node2	CacheHits	36
3	Node2	CacheMisses	340
3	Node3	CacheHits	7
3	Node3	CacheMisses	189
3	Node4	CacheHits	10
3	Node4	CacheMisses	187
3	Node5	CacheHits	7
3	Node5	CacheMisses	186
3	Node6	CacheHits	5
3	Node6	CacheMisses	189
3	Node7	CacheHits	3
3	Node7	CacheMisses	96
3	Node8	CacheHits	0
3	Node8	CacheMisses	99
3	Node9	CacheHits	2
3	Node9	CacheMisses	98
3	Node10	CacheHits	0
3	Node10	CacheMisses	98
3	Node11	CacheHits	5
3	Node11	CacheMisses	94
