Time	Node	Type	Packets	
1	Node0	CacheHits	25
1	Node0	CacheMisses	694
1	Node1	CacheHits	13
1	Node1	CacheMisses	364
1	Node2	CacheHits	12
1	Node2	CacheMisses	360
1	Node3	CacheHits	7
1	Node3	CacheMisses	191
1	Node4	CacheHits	7
1	Node4	CacheMisses	190
1	Node5	CacheHits	6
1	Node5	CacheMisses	191
1	Node6	CacheHits	6
1	Node6	CacheMisses	187
1	Node7	CacheHits	5
1	Node7	CacheMisses	99
1	Node8	CacheHits	2
1	Node8	CacheMisses	102
1	Node9	CacheHits	5
1	Node9	CacheMisses	99
1	Node10	CacheHits	2
1	Node10	CacheMisses	100
1	Node11	CacheHits	5
1	Node11	CacheMisses	98
1	Node12	CacheHits	2
1	Node12	CacheMisses	102
1	Node13	CacheHits	5
1	Node13	CacheMisses	97
1	Node14	CacheHits	4
1	Node14	CacheMisses	100
2	Node0	CacheHits	19
2	Node0	CacheMisses	688
2	Node1	CacheHits	9
2	Node1	CacheMisses	358
2	Node2	CacheHits	8
2	Node2	CacheMisses	345
2	Node3	CacheHits	11
2	Node3	CacheMisses	182
2	Node4	CacheHits	8
2	Node4	CacheMisses	181
2	Node5	CacheHits	5
2	Node5	CacheMisses	175
2	Node6	CacheHits	5
2	Node6	CacheMisses	179
2	Node7	CacheHits	2
2	Node7	CacheMisses	98
2	Node8	CacheHits	3
2	Node8	CacheMisses	97
2	Node9	CacheHits	6
2	Node9	CacheMisses	94
2	Node10	CacheHits	4
2	Node10	CacheMisses	94
2	Node11	CacheHits	10
2	Node11	CacheMisses	90
2	Node12	CacheHits	9
2	Node12	CacheMisses	91
2	Node13	CacheHits	4
2	Node13	CacheMisses	96
2	Node14	CacheHits	11
2	Node14	CacheMisses	89
3	Node0	CacheHits	16
3	Node0	CacheMisses	664
3	Node1	CacheHits	11
3	Node1	CacheMisses	337
3	Node2	CacheHits	11
3	Node2	CacheMisses	344
3	Node3	CacheHits	11
3	Node3	CacheMisses	167
3	Node4	CacheHits	5
3	Node4	CacheMisses	181
3	Node5	CacheHits	4
3	Node5	CacheMisses	177
3	Node6	CacheHits	5
3	Node6	CacheMisses	178
3	Node7	CacheHits	13
3	Node7	CacheMisses	86
3	Node8	CacheHits	9
3	Node8	CacheMisses	91
3	Node9	CacheHits	8
3	Node9	CacheMisses	92
3	Node10	CacheHits	5
3	Node10	CacheMisses	94
3	Node11	CacheHits	9
3	Node11	CacheMisses	90
3	Node12	CacheHits	9
3	Node12	CacheMisses	91
3	Node13	CacheHits	8
3	Node13	CacheMisses	91
3	Node14	CacheHits	9
3	Node14	CacheMisses	91
4	Node0	CacheHits	15
4	Node0	CacheMisses	689
4	Node1	CacheHits	10
4	Node1	CacheMisses	344
4	Node2	CacheHits	6
4	Node2	CacheMisses	355
4	Node3	CacheHits	5
4	Node3	CacheMisses	177
4	Node4	CacheHits	5
4	Node4	CacheMisses	177
4	Node5	CacheHits	4
4	Node5	CacheMisses	179
4	Node6	CacheHits	4
4	Node6	CacheMisses	184
4	Node7	CacheHits	12
4	Node7	CacheMisses	88
4	Node8	CacheHits	5
4	Node8	CacheMisses	95
4	Node9	CacheHits	8
4	Node9	CacheMisses	92
4	Node10	CacheHits	11
4	Node10	CacheMisses	89
4	Node11	CacheHits	5
4	Node11	CacheMisses	95
4	Node12	CacheHits	12
4	Node12	CacheMisses	88
4	Node13	CacheHits	5
4	Node13	CacheMisses	95
4	Node14	CacheHits	7
4	Node14	CacheMisses	93
5	Node0	CacheHits	15
5	Node0	CacheMisses	686
5	Node1	CacheHits	7
5	Node1	CacheMisses	347
5	Node2	CacheHits	3
5	Node2	CacheMisses	355
5	Node3	CacheHits	4
5	Node3	CacheMisses	177
5	Node4	CacheHits	4
5	Node4	CacheMisses	176
5	Node5	CacheHits	6
5	Node5	CacheMisses	179
5	Node6	CacheHits	0
5	Node6	CacheMisses	179
5	Node7	CacheHits	9
5	Node7	CacheMisses	91
5	Node8	CacheHits	8
5	Node8	CacheMisses	92
5	Node9	CacheHits	8
5	Node9	CacheMisses	91
5	Node10	CacheHits	9
5	Node10	CacheMisses	91
5	Node11	CacheHits	7
5	Node11	CacheMisses	92
5	Node12	CacheHits	9
5	Node12	CacheMisses	90
5	Node13	CacheHits	9
5	Node13	CacheMisses	90
5	Node14	CacheHits	11
5	Node14	CacheMisses	89
6	Node0	CacheHits	6
6	Node0	CacheMisses	696
6	Node1	CacheHits	12
6	Node1	CacheMisses	352
6	Node2	CacheHits	9
6	Node2	CacheMisses	349
6	Node3	CacheHits	2
6	Node3	CacheMisses	178
6	Node4	CacheHits	2
6	Node4	CacheMisses	184
6	Node5	CacheHits	7
6	Node5	CacheMisses	178
6	Node6	CacheHits	3
6	Node6	CacheMisses	180
6	Node7	CacheHits	10
6	Node7	CacheMisses	90
6	Node8	CacheHits	10
