Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
1.06934	0	0	0	LastDelay	0.0693359	69335.9	1	4
1.06934	0	0	0	FullDelay	1.06934	1.06934e+06	2	4
1.58887	0	0	1	LastDelay	1.56887	1.56887e+06	1	4
1.58887	0	0	1	FullDelay	1.56887	1.56887e+06	1	4
1.84863	0	0	2	LastDelay	1.80863	1.80863e+06	1	4
1.84863	0	0	2	FullDelay	1.80863	1.80863e+06	1	4
4.56733	0	0	3	LastDelay	0.267334	267334	1	1
4.56733	0	0	3	FullDelay	4.50733	4.50733e+06	2	1
4.8271	0	0	4	LastDelay	0.5071	507100	1	1
4.8271	0	0	4	FullDelay	4.7471	4.7471e+06	2	1
5.08687	0	0	5	LastDelay	0.746865	746865	1	2
5.08687	0	0	5	FullDelay	4.98687	4.98687e+06	2	2
