Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.120052	Node7	0	9550	LastDelay	0.120052	120052	1	6
0.120052	Node7	0	9550	FullDelay	0.120052	120052	1	6
0.130052	Node7	0	416	LastDelay	0.120052	120052	1	6
0.130052	Node7	0	416	FullDelay	0.120052	120052	1	6
0.140052	Node7	0	37	LastDelay	0.120052	120052	1	6
0.140052	Node7	0	37	FullDelay	0.120052	120052	1	6
0.150052	Node7	0	15	LastDelay	0.120052	120052	1	6
0.150052	Node7	0	15	FullDelay	0.120052	120052	1	6
0.160052	Node7	0	5736	LastDelay	0.120052	120052	1	6
0.160052	Node7	0	5736	FullDelay	0.120052	120052	1	6
0.170052	Node7	0	46	LastDelay	0.120052	120052	1	6
0.170052	Node7	0	46	FullDelay	0.120052	120052	1	6
0.180052	Node7	0	892	LastDelay	0.120052	120052	1	6
0.180052	Node7	0	892	FullDelay	0.120052	120052	1	6
0.190052	Node7	0	607	LastDelay	0.120052	120052	1	6
0.190052	Node7	0	607	FullDelay	0.120052	120052	1	6
0.200052	Node7	0	482	LastDelay	0.120052	120052	1	6
0.200052	Node7	0	482	FullDelay	0.120052	120052	1	6
0.210052	Node7	0	677	LastDelay	0.120052	120052	1	6
0.210052	Node7	0	677	FullDelay	0.120052	120052	1	6
0.220052	Node7	0	599	LastDelay	0.120052	120052	1	6
0.220052	Node7	0	599	FullDelay	0.120052	120052	1	6
0.230052	Node7	0	578	LastDelay	0.120052	120052	1	6
0.230052	Node7	0	578	FullDelay	0.120052	120052	1	6
0.240052	Node7	0	8422	LastDelay	0.120052	120052	1	6
0.240052	Node7	0	8422	FullDelay	0.120052	120052	1	6
0.250052	Node7	0	262	LastDelay	0.120052	120052	1	6
0.250052	Node7	0	262	FullDelay	0.120052	120052	1	6
0.260052	Node7	0	6985	LastDelay	0.120052	120052	1	6
0.260052	Node7	0	6985	FullDelay	0.120052	120052	1	6
0.270052	Node7	0	2299	LastDelay	0.120052	120052	1	6
0.270052	Node7	0	2299	FullDelay	0.120052	120052	1	6
0.280052	Node7	0	2935	LastDelay	0.120052	120052	1	6
0.280052	Node7	0	2935	FullDelay	0.120052	120052	1	6
0.290052	Node7	0	30	LastDelay	0.120052	120052	1	6
0.290052	Node7	0	30	FullDelay	0.120052	120052	1	6
0.300052	Node7	0	4109	LastDelay	0.120052	120052	1	6
0.300052	Node7	0	4109	FullDelay	0.120052	120052	1	6
0.310052	Node7	0	5099	LastDelay	0.120052	120052	1	6
0.310052	Node7	0	5099	FullDelay	0.120052	120052	1	6
0.320052	Node7	0	1352	LastDelay	0.120052	120052	1	6
0.320052	Node7	0	1352	FullDelay	0.120052	120052	1	6
0.330052	Node7	0	8106	LastDelay	0.120052	120052	1	6
0.330052	Node7	0	8106	FullDelay	0.120052	120052	1	6
0.340052	Node7	0	6097	LastDelay	0.120052	120052	1	6
0.340052	Node7	0	6097	FullDelay	0.120052	120052	1	6
0.350052	Node7	0	181	LastDelay	0.120052	120052	1	6
0.350052	Node7	0	181	FullDelay	0.120052	120052	1	6
0.360052	Node7	0	6427	LastDelay	0.120052	120052	1	6
0.360052	Node7	0	6427	FullDelay	0.120052	120052	1	6
0.370052	Node7	0	5702	LastDelay	0.120052	120052	1	6
0.370052	Node7	0	5702	FullDelay	0.120052	120052	1	6
0.380052	Node7	0	1	LastDelay	0.120052	120052	1	6
0.380052	Node7	0	1	FullDelay	0.120052	120052	1	6
0.390052	Node7	0	67	LastDelay	0.120052	120052	1	6
0.390052	Node7	0	67	FullDelay	0.120052	120052	1	6
0.400052	Node7	0	35	LastDelay	0.120052	120052	1	6
0.400052	Node7	0	35	FullDelay	0.120052	120052	1	6
0.410052	Node7	0	8	LastDelay	0.120052	120052	1	6
0.410052	Node7	0	8	FullDelay	0.120052	120052	1	6
0.420052	Node7	0	18	LastDelay	0.120052	120052	1	6
0.420052	Node7	0	18	FullDelay	0.120052	120052	1	6
