Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.560035	0	0	291	LastDelay	0.0800348	80034.8	1	4
0.560035	0	0	291	FullDelay	0.0800348	80034.8	1	4
0.570035	0	0	6201	LastDelay	0.0800348	80034.8	1	4
0.570035	0	0	6201	FullDelay	0.0800348	80034.8	1	4
0.580035	0	0	1941	LastDelay	0.0800348	80034.8	1	4
0.580035	0	0	1941	FullDelay	0.0800348	80034.8	1	4
0.590035	0	0	22	LastDelay	0.0800347	80034.7	1	4
0.590035	0	0	22	FullDelay	0.0800347	80034.7	1	4
0.600035	0	0	431	LastDelay	0.0800348	80034.8	1	4
0.600035	0	0	431	FullDelay	0.0800348	80034.8	1	4
0.610035	0	0	5974	LastDelay	0.0800348	80034.8	1	4
0.610035	0	0	5974	FullDelay	0.0800348	80034.8	1	4
0.620035	0	0	380	LastDelay	0.0800348	80034.8	1	4
0.620035	0	0	380	FullDelay	0.0800348	80034.8	1	4
0.630035	0	0	6037	LastDelay	0.0800348	80034.8	1	4
0.630035	0	0	6037	FullDelay	0.0800348	80034.8	1	4
0.640035	0	0	2112	LastDelay	0.0800348	80034.8	1	4
0.640035	0	0	2112	FullDelay	0.0800348	80034.8	1	4
0.650035	0	0	1	LastDelay	0.0800347	80034.7	1	4
0.650035	0	0	1	FullDelay	0.0800347	80034.7	1	4
0.660035	0	0	4744	LastDelay	0.0800348	80034.8	1	4
0.660035	0	0	4744	FullDelay	0.0800348	80034.8	1	4
0.670035	0	0	3329	LastDelay	0.0800348	80034.8	1	4
0.670035	0	0	3329	FullDelay	0.0800348	80034.8	1	4
0.680035	0	0	8603	LastDelay	0.0800348	80034.8	1	4
0.680035	0	0	8603	FullDelay	0.0800348	80034.8	1	4
0.690035	0	0	2277	LastDelay	0.0800348	80034.8	1	4
0.690035	0	0	2277	FullDelay	0.0800348	80034.8	1	4
0.700035	0	0	987	LastDelay	0.0800348	80034.8	1	4
0.700035	0	0	987	FullDelay	0.0800348	80034.8	1	4
0.710035	0	0	9895	LastDelay	0.0800348	80034.8	1	4
0.710035	0	0	9895	FullDelay	0.0800348	80034.8	1	4
0.720035	0	0	1945	LastDelay	0.0800348	80034.8	1	4
0.720035	0	0	1945	FullDelay	0.0800348	80034.8	1	4
0.730009	0	0	2	LastDelay	0.0200087	20008.7	1	1
0.730009	0	0	2	FullDelay	0.0200087	20008.7	1	1
0.730035	0	0	7239	LastDelay	0.0800348	80034.8	1	4
0.730035	0	0	7239	FullDelay	0.0800348	80034.8	1	4
0.740035	0	0	5371	LastDelay	0.0800348	80034.8	1	4
0.740035	0	0	5371	FullDelay	0.0800348	80034.8	1	4
0.750035	0	0	1958	LastDelay	0.0800348	80034.8	1	4
0.750035	0	0	1958	FullDelay	0.0800348	80034.8	1	4
0.760035	0	0	9339	LastDelay	0.0800348	80034.8	1	4
0.760035	0	0	9339	FullDelay	0.0800348	80034.8	1	4
0.770035	0	0	33	LastDelay	0.0800347	80034.7	1	4
0.770035	0	0	33	FullDelay	0.0800347	80034.7	1	4
0.780035	0	0	3104	LastDelay	0.0800348	80034.8	1	4
0.780035	0	0	3104	FullDelay	0.0800348	80034.8	1	4
0.800035	0	0	8	LastDelay	0.0800347	80034.7	1	4
0.800035	0	0	8	FullDelay	0.0800347	80034.7	1	4
0.810035	0	0	91	LastDelay	0.0800347	80034.7	1	4
